Code,Name,Population,SEIFA score,"Percentage of population in decile 1  (0 - 10% of values)
(most disadvantaged)","Percentage of population in decile 2  (10 - 20% of values)
(most disadvantaged)","Percentage of population in decile 3  (20 - 30% of values)
(most disadvantaged)","Percentage of population in decile 4  (30 - 40% of values)
(most disadvantaged)","Percentage of population in decile 5  (40 - 50% of values)
(most disadvantaged)","Percentage of population in decile 6  (50 - 60% of values)
(most disadvantaged)","Percentage of population in decile 7  (60 - 70% of values)
(most disadvantaged)","Percentage of population in decile 8  (70 - 80% of values)
(most disadvantaged)","Percentage of population in decile 9  (80 - 90% of values)
(most disadvantaged)","Percentage of population in decile 10  (90 - 100% of values)
(most disadvantaged)",Overall decile position
315011395,Aurukun,1269.00,504.36,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311021306,Beenleigh,8252.00,860.19,39.0%,36.0%,13.8%,5.3%,2.7%,3.2%,0.0%,0.0%,0.0%,0.0%,1
308031205,Berserker,6875.00,877.35,43.9%,44.9%,11.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319011495,Bundaberg,6116.00,816.49,69.8%,30.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319051522,Burrum - Fraser,9572.00,893.08,40.6%,30.3%,17.3%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
313021365,Caboolture,26827.00,892.68,33.0%,25.6%,6.7%,14.0%,11.1%,6.2%,3.5%,0.0%,0.0%,0.0%,1
313021366,Caboolture - South,20349.00,888.86,30.8%,50.7%,6.4%,8.6%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,1
315011396,Cape York,7513.00,782.87,56.7%,20.2%,9.9%,8.9%,2.2%,0.0%,0.0%,2.1%,0.0%,0.0%,1
315021404,Carpentaria,4828.00,716.75,77.7%,6.2%,10.9%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319031511,Cooloola,6263.00,880.37,53.3%,29.1%,14.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311031314,Crestmead,11989.00,896.60,20.9%,53.4%,25.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
313041373,Deception Bay,22446.00,901.39,48.1%,21.0%,6.8%,6.9%,0.0%,8.2%,5.8%,1.5%,1.7%,0.0%,1
311021307,Eagleby,13326.00,857.85,57.1%,33.6%,9.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
318021475,Garbutt - West End,6533.00,901.52,24.2%,27.4%,16.5%,11.3%,14.8%,5.8%,0.0%,0.0%,0.0%,0.0%,1
317011448,Gatton,7434.00,897.22,45.4%,15.1%,18.0%,5.3%,10.9%,0.0%,5.4%,0.0%,0.0%,0.0%,1
319021504,Gin Gin,5117.00,862.38,52.7%,34.4%,12.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310041300,Goodna,10884.00,858.64,45.4%,33.2%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319051523,Granville,3211.00,870.29,55.4%,25.2%,0.0%,0.0%,15.3%,0.0%,4.1%,0.0%,0.0%,0.0%,1
319031512,Gympie - North,14220.00,881.06,54.4%,14.3%,14.8%,9.6%,3.7%,3.2%,0.0%,0.0%,0.0%,0.0%,1
318021477,Heatley,4038.00,895.19,35.5%,32.8%,20.5%,11.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306051167,Herberton,5638.00,865.75,54.3%,34.2%,11.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310011274,Inala - Richlands,18010.00,754.24,80.5%,10.0%,9.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306031159,Innisfail,9377.00,879.14,47.1%,21.4%,19.7%,5.3%,3.4%,3.2%,0.0%,0.0%,0.0%,0.0%,1
319021506,Kingaroy Region - North,9566.00,835.37,41.8%,24.8%,13.9%,12.5%,7.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311061330,Kingston (Qld.),10413.00,810.48,88.1%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
315011398,Kowanyama - Pormpuraaw,1700.00,612.07,97.2%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
310031291,Leichhardt - One Mile,7654.00,843.87,67.7%,11.5%,15.0%,0.0%,2.3%,0.0%,3.4%,0.0%,0.0%,0.0%,1
311061331,Logan Central,6133.00,731.43,93.2%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311051326,Loganlea,10434.00,900.06,40.1%,12.7%,16.9%,10.3%,4.2%,15.7%,0.0%,0.0%,0.0%,0.0%,1
312021346,Mackay,3659.00,874.00,63.4%,26.6%,0.0%,0.0%,0.0%,10.1%,0.0%,0.0%,0.0%,0.0%,1
306021151,Manoora,6027.00,794.83,68.2%,21.9%,9.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
306021152,Manunda,5390.00,828.68,64.5%,24.3%,0.0%,4.5%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1
311031317,Marsden,14447.00,879.34,27.3%,63.8%,6.6%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1
319051524,Maryborough (Qld),18238.00,866.12,57.5%,22.9%,6.0%,3.3%,5.4%,0.0%,1.4%,3.5%,0.0%,0.0%,1
319051525,Maryborough Region - South,8395.00,898.72,29.0%,30.2%,15.2%,10.0%,5.6%,10.0%,0.0%,0.0%,0.0%,0.0%,1
